"","YEAR","median_TEMP","median_PCO2_TEQ"
"1","1981",11.12,292.315
"2","1982",0.5,332.28
"3","1983",15.78,308.585
"4","1984",16.9,321.1
"5","1985",13.24,323.44
"6","1986",6.545,347
"7","1987",18.09,304.46
"8","1988",7.51,337.7
"9","1989",8.748,330.16
"10","1990",7.255,303.4
"11","1991",22.18,336.3
"12","1992",19.17,339.66
"13","1993",17.53,334.685
"14","1994",16.89,324.3
"15","1995",17.785,322.705
"16","1996",14.81,325.8
"17","1997",4.12,337.02
"18","1998",8.497,347.8
"19","1999",7.617,348.3
"20","2000",7.002,367.15
"21","2001",7.562,366
"22","2002",18.46,339.855
"23","2003",16.27,353.84
"24","2004",14.2,351.66
"25","2005",8.23,363.71
"26","2006",10.85,363.13
"27","2007",12.94,374.055
"28","2008",19.92,360.08
"29","2009",16.6,349.69
"30","2010",17.21,374.325
"31","2011",16.15,380.77
"32","2012",15.36,367.43
"33","2013",15.97,376.28
"34","2014",11.61,360.88
"35","2015",16.28,372.78
"36","2016",16.76,394.11
"37","2017",10.01,358.8
"38","2018",17.71,405.43
